"","folio","ginc_1_2","ginc_3","ginc_4","ginc_5","ginc_6","ginc_7","bin_telefono","bin_celular","bin_tvpaga","bin_conex_inte","bin_agua","bin_electricidad","coche","propiedad","piso_tierra","piso_cemento","piso_otro","bin_sex","share_h","share_ocup","hablaind","inst","prospera","adultom","rururb","tam_grande","tam_med","tam_medpeq","tam_peq","ent","mun","region","no_edu","kinder","primaria","secundaria","preparatoria","licenciatura","postgrado","factor","upm"
"100","0100100010892036840101",1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0.333333333333333,0.333333333333333,0,NA,0,1,0,0,0,0,1,"01","01001",3,0,0,1,0,0,0,0,303,6
"101","0100100010892036850101",0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0.8,0.4,0,"IMSS",0,0,0,1,0,0,0,"01","01001",3,0,0,0,0,0,1,0,397,6
"102","0100100010962007890201",0,0,0,1,0,0,0,1,1,1,1,1,2,0,0,0,1,0,0.166666666666667,0.333333333333333,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,0,1,0,0,0,1758,6
"103","0100100010962007900501",0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0.666666666666667,0.333333333333333,0,"Otro",0,0,0,0,0,0,1,"01","01001",3,0,0,1,0,0,0,0,303,6
"104","0100100010962010890101",0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0.25,0.25,0,NA,0,0,0,0,1,0,0,"01","01001",3,0,0,0,0,1,0,0,392,6
"105","0100100010962010890401",0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,"IMSS",0,0,0,0,1,0,0,"01","01001",3,0,0,0,0,0,1,0,1315,6
"106","0100100010962010900201",0,0,0,0,0,0,1,1,1,1,1,1,2,1,0,0,1,0,0.5,1,0,"IMSS",0,0,0,1,0,0,0,"01","01001",3,0,0,0,0,0,1,0,808,6
"107","0100100010962020890101",0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,"ISSSTE",1,1,0,0,0,1,0,"01","01001",3,0,0,0,0,0,0,0,303,6
"108","0100100010962020890301",0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0.25,1,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,0,1,0,0,0,1120,6
"109","0100100010962020900201",0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0.666666666666667,0.666666666666667,0,"IMSS",0,0,0,1,0,0,0,"01","01001",3,0,0,0,0,0,0,0,1688,6
"110","0100100010962020900301",0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0.5,1,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,0,0,1,0,0,1907,6
"111","0100100010977013830101",0,0,1,0,0,0,0,1,1,1,1,1,2,0,0,0,1,1,0.4,0.6,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,0,0,1,0,0,303,6
"112","0100100010977013830201",0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0.4,0.4,0,NA,0,1,0,0,0,0,1,"01","01001",3,0,0,0,0,1,0,0,808,6
"113","0100100010977013850501",1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0.166666666666667,0.5,0,"ISSSTE",0,0,0,0,0,1,0,"01","01001",3,0,0,1,0,0,0,0,1291,6
"114","0100100010977025830301",1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0.333333333333333,0.666666666666667,0,"IMSS",1,1,0,0,0,1,0,"01","01001",3,0,0,0,1,0,0,0,1688,6
"115","0100100010977025830401",0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0.333333333333333,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,0,0,0,1,0,397,6
"116","0100100010977025850301",0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0.4,0,0,"Otro",0,0,0,0,1,0,0,"01","01001",3,0,0,0,1,0,0,0,1688,6
"117","0100100010977041830201",0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0.333333333333333,0.333333333333333,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,0,0,0,0,0,1907,6
"118","0100100010977041830202",0,0,1,0,0,0,1,1,0,1,1,1,4,1,0,0,1,0,0.666666666666667,0.666666666666667,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,0,1,0,0,0,808,6
"119","0100100010977041850101",1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0.333333333333333,0.333333333333333,0,"Otro",0,1,0,0,1,0,0,"01","01001",3,0,0,0,1,0,0,0,397,6
"120","0100100011320007900101",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0.25,0.5,0,NA,0,0,0,0,0,0,1,"01","01001",3,0,0,1,0,0,0,0,397,6
"121","0100100011320007900201",1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0.5,0,"Otro",0,0,0,0,0,0,1,"01","01001",3,0,0,0,1,0,0,0,808,6
"122","0100100011320007900202",1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0.666666666666667,0.666666666666667,0,"Otro",0,0,0,0,0,1,0,"01","01001",3,0,0,0,1,0,0,0,1907,6
"123","0100100011320011900401",1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0.5,1,0,"Otro",0,0,0,0,0,0,1,"01","01001",3,0,0,1,0,0,0,0,1315,6
"124","0100100011320011900501",1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0.5,1,0,"Otro",0,0,0,0,0,0,1,"01","01001",3,0,0,0,1,0,0,0,597,6
