"","region","rururb","y_hat","index","sex","ethnicity","birth_region","father_educ","mother_educ","father_ocup","rank","sd_WC","ratio_WC","mean_","sd","sd_BC","ratio_BC","ratio","alpha","y","y_hat_BC_WC"
"963",2,0,2.86721801757812,0.0476529475398308,1,0,6,0,0,"NT",81,0.0477818429449088,1.27233494194172,2.76111343626444,0.0106236769643622,0.0145234930357752,1.22860680097111,1.25352681609694,0.43011491975882,25882.5309857316,32444.4466590746
"964",2,0,3.11465454101562,5.99544511881232,1,0,6,9,12,"06",88,0.0622561320979669,1.3632025941278,3.01389819079927,0.0134397082788289,0.0145234930357752,1.22860680097111,1.30531093535433,0.43011491975882,33148.7425990062,43269.4162077287
"965",2,0,2.11373901367188,-3.23216253256197,0,0,6,0,0,"04",39,0.0326853306024113,0.842994180523976,1.85867411471358,0.00386087958359321,0.0145234930357752,1.22860680097111,1.00885192182558,0.43011491975882,12183.5813933094,12291.4295033586
"966",2,0,2.86245727539062,3.63024857276463,0,0,6,4,3,"04",81,0.0477818429449088,1.27233494194172,2.76111343626444,0.0106236769643622,0.0145234930357752,1.22860680097111,1.25352681609694,0.43011491975882,25759.6037731074,32290.3541016221
"967",2,0,2.94998168945312,3.52270656313243,0,0,6,0,0,"NT",84,0.0494313485594362,1.35650540850355,2.86083997855131,0.0100692653721317,0.0145234930357752,1.22860680097111,1.30149430918747,0.43011491975882,28115.8066859561,36592.5623999869
"968",2,0,2.94961547851562,4.16484934414662,0,1,6,0,12,"03",84,0.0494313485594362,1.35650540850355,2.86083997855131,0.0100692653721317,0.0145234930357752,1.22860680097111,1.30149430918747,0.43011491975882,28105.5122551127,36579.1642568279
"969",2,0,2.29489135742188,-0.544922038540286,1,0,6,6,6,"06",51,0.0339163757515977,0.869818589427033,2.069158612485,0.0049166263827871,0.0145234930357752,1.22860680097111,1.02413875224572,0.43011491975882,14603.2134187389,14955.7167694452
"970",2,0,2.68118286132812,-2.91345411949313,0,0,6,0,2,"07",74,0.0418146340602396,1.08080931864608,2.55331115829265,0.00641831521497976,0.0145234930357752,1.22860680097111,1.14437922089686,0.43011491975882,21488.8265689158,24591.3666069236
"971",2,0,2.83932495117188,4.22351277644317,1,0,6,9,12,"04",80,0.0496698741442087,1.22725893001875,2.72957696185286,0.00809194366390761,0.0145234930357752,1.22860680097111,1.22783866942527,0.43011491975882,25170.5634688017,30905.3911582178
"972",2,0,3.19088745117188,4.73550563758142,0,0,4,0,0,"08",90,0.072350831278091,1.49436748475027,3.10815058602973,0.0135192680556251,0.0145234930357752,1.22860680097111,1.38005984957155,0.43011491975882,35774.5839383767,49371.066928481
"973",2,0,3.16647338867188,2.00009072668756,1,0,6,6,3,"04",90,0.072350831278091,1.49436748475027,3.10815058602973,0.0135192680556251,0.0145234930357752,1.22860680097111,1.38005984957155,0.43011491975882,34911.7564292413,48180.3133260174
"974",2,0,3.52432250976562,-2.8557823001566,1,0,6,0,12,"05",97,0.091290877623865,1.95847668679581,3.61975651072054,0.0323931549381037,0.0145234930357752,1.22860680097111,1.64454875941994,0.43011491975882,49932.5329882624,82116.4851805422
"975",2,0,3.63143920898438,5.52628888463415,0,0,6,15,15,"03",98,0.136591413330237,2.28359869027603,3.7630437137185,0.0446015459327066,0.0145234930357752,1.22860680097111,1.82983093846143,0.43011491975882,55578.1119193605,101698.548691318
